CustomerID,Plan,AcquisitionSource,MRR,SignupDate,CancelDate,Status,TenureMonths,IsDiscount,LTV
CUST0001,Basic,Direct Sales,29,10/17/2023,7/13/2024,Churned,9,0,261
CUST0002,Pro,Referral,79,9/8/2022,1/6/2023,Churned,4,0,316
CUST0003,Basic,Organic,29,11/24/2023,,Active,23,0,667
CUST0004,Basic,Free Trial,29,3/31/2022,,Active,7,1,203
CUST0005,Pro,Referral,79,1/31/2022,9/28/2022,Churned,8,0,632
CUST0006,Basic,Direct Sales,29,6/2/2023,,Active,23,0,667
CUST0007,Pro,Organic,79,7/23/2022,,Active,28,0,2212
CUST0008,Basic,Organic,29,7/13/2023,,Active,20,0,580
CUST0009,Basic,Paid Ad,29,8/27/2023,9/26/2023,Churned,1,0,29
CUST0010,Basic,Organic,29,6/13/2022,,Active,16,0,464
CUST0011,Pro,Organic,79,10/12/2022,9/7/2023,Churned,11,0,869
CUST0012,Basic,Paid Ad,29,4/15/2022,8/13/2022,Churned,4,0,116
CUST0013,Basic,Free Trial,29,1/3/2023,,Active,25,1,725
CUST0014,Basic,Paid Ad,29,9/28/2022,,Active,29,0,841
CUST0015,Pro,Organic,79,4/16/2023,,Active,18,0,1422
CUST0016,Pro,Organic,79,3/22/2022,,Active,26,0,2054
CUST0017,Basic,Direct Sales,29,9/26/2023,,Active,17,0,493
CUST0018,Enterprise,Free Trial,199,8/15/2023,,Active,8,1,1592
CUST0019,Basic,Organic,29,2/16/2022,,Active,30,0,870
CUST0020,Pro,Paid Ad,79,10/24/2022,,Active,13,0,1027
CUST0021,Basic,Paid Ad,29,4/14/2022,7/8/2023,Churned,15,0,435
CUST0022,Basic,Direct Sales,29,10/13/2023,,Active,11,0,319
CUST0023,Basic,Referral,29,1/15/2023,10/12/2023,Churned,9,0,261
CUST0024,Basic,Paid Ad,29,12/20/2023,,Active,26,0,754
CUST0025,Pro,Organic,79,3/15/2022,,Active,11,0,869
CUST0026,Enterprise,Free Trial,199,7/1/2023,,Active,11,1,2189
CUST0027,Enterprise,Free Trial,199,4/19/2023,,Active,26,1,5174
CUST0028,Pro,Direct Sales,79,12/6/2023,,Active,27,0,2133
CUST0029,Basic,Organic,29,11/29/2022,,Active,30,0,870
CUST0030,Basic,Paid Ad,29,2/27/2022,4/28/2022,Churned,2,0,58
CUST0031,Basic,Organic,29,11/20/2022,,Active,8,0,232
CUST0032,Pro,Paid Ad,79,8/5/2022,,Active,24,0,1896
CUST0033,Basic,Paid Ad,29,11/19/2022,3/13/2024,Churned,16,0,464
CUST0034,Basic,Free Trial,29,2/10/2023,,Active,26,1,754
CUST0035,Basic,Direct Sales,29,4/15/2023,9/12/2023,Churned,5,0,145
CUST0036,Pro,Organic,79,9/10/2022,,Active,23,0,1817
CUST0037,Basic,Free Trial,29,9/27/2022,,Active,19,1,551
CUST0038,Pro,Referral,79,8/21/2023,,Active,13,0,1027
CUST0039,Pro,Organic,79,5/22/2022,,Active,8,0,632
CUST0040,Basic,Organic,29,2/18/2022,,Active,10,0,290
CUST0041,Enterprise,Referral,199,10/5/2023,,Active,27,0,5373
CUST0042,Basic,Organic,29,3/9/2023,,Active,18,0,522
CUST0043,Basic,Paid Ad,29,1/26/2023,,Active,20,0,580
CUST0044,Pro,Referral,79,6/26/2023,,Active,23,0,1817
CUST0045,Enterprise,Paid Ad,199,1/12/2022,,Active,9,0,1791
CUST0046,Basic,Referral,29,11/30/2023,,Active,30,0,870
CUST0047,Pro,Referral,79,10/1/2022,,Active,16,0,1264
CUST0048,Pro,Paid Ad,79,4/25/2022,,Active,11,0,869
CUST0049,Pro,Paid Ad,79,4/10/2023,1/5/2024,Churned,9,0,711
CUST0050,Basic,Organic,29,5/28/2023,,Active,22,0,638
CUST0051,Basic,Referral,29,4/19/2022,,Active,15,0,435
CUST0052,Basic,Paid Ad,29,10/17/2023,,Active,12,0,348
CUST0053,Enterprise,Organic,199,6/6/2022,,Active,11,0,2189
CUST0054,Basic,Free Trial,29,7/7/2023,,Active,22,1,638
CUST0055,Basic,Organic,29,1/1/2022,,Active,21,0,609
CUST0056,Basic,Organic,29,1/20/2022,1/15/2023,Churned,12,0,348
